branch,sl,tp,pf,wr,total_pnl
along,10,39,0.5659305993690852,0.10337078651685393,-1376
along,10,45,0.014195583596214511,0.0022471910112359553,-3125
along,10,50,0.015772870662460567,0.0022471910112359553,-3120
along,10,60,0.0,0.0,-3170
along,10,75,0.0,0.0,-3170
along,10,100,0.0,0.0,-3170
along,12,10,0.43567251461988304,0.3348314606741573,-1930
along,12,15,0.5877192982456141,0.30112359550561796,-1410
along,12,20,0.7017543859649122,0.2696629213483146,-1020
along,12,25,0.7383040935672515,0.22696629213483147,-895
along,12,30,0.7017543859649122,0.1797752808988764,-1020
along,12,39,0.5929824561403508,0.11685393258426967,-1392
along,12,45,0.013157894736842105,0.0022471910112359553,-3375
along,12,50,0.014619883040935672,0.0022471910112359553,-3370
along,12,60,0.0,0.0,-3420
along,12,75,0.0,0.0,-3420
along,12,100,0.0,0.0,-3420
along,15,10,0.4701195219123506,0.39775280898876403,-1995
along,15,15,0.6135458167330677,0.34606741573033706,-1455
along,15,20,0.7118193891102258,0.30112359550561796,-1085
along,15,25,0.7370517928286853,0.24943820224719102,-990
along,15,30,0.701195219123506,0.19775280898876405,-1125
along,15,39,0.5904382470119522,0.12808988764044943,-1542
along,15,45,0.01195219123505976,0.0022471910112359553,-3720
along,15,50,0.013280212483399735,0.0022471910112359553,-3715
along,15,60,0.0,0.0,-3765
along,15,75,0.0,0.0,-3765
along,15,100,0.0,0.0,-3765
along,17,10,0.4817444219066937,0.42696629213483145,-2044
along,17,15,0.6237322515212982,0.3685393258426966,-1484
along,17,20,0.7150101419878296,0.31685393258426964,-1124
along,17,25,0.7352941176470589,0.2606741573033708,-1044
along,17,30,0.6997971602434077,0.20674157303370785,-1184
along,17,39,0.5933062880324543,0.1348314606741573,-1604
along,17,45,0.01140973630831643,0.0022471910112359553,-3899
along,17,50,0.012677484787018255,0.0022471910112359553,-3894
along,17,60,0.0,0.0,-3944
along,17,75,0.0,0.0,-3944
along,17,100,0.0,0.0,-3944
along,20,10,0.6716867469879518,0.501123595505618,-1090
along,20,15,0.8132530120481928,0.4044943820224719,-620
along,20,20,0.9036144578313253,0.33707865168539325,-320
along,20,25,0.9186746987951807,0.27415730337078653,-270
along,20,30,0.858433734939759,0.21348314606741572,-470
along,20,39,0.716566265060241,0.13707865168539327,-941
along,20,45,0.01355421686746988,0.0022471910112359553,-3275
along,20,50,0.015060240963855422,0.0022471910112359553,-3270
along,20,60,0.0,0.0,-3320
along,20,75,0.0,0.0,-3320
along,20,100,0.0,0.0,-3320
along,25,10,1.3891891891891892,0.5775280898876405,720
along,25,15,1.5972972972972972,0.44269662921348313,1105
along,25,20,1.772972972972973,0.3685393258426966,1430
along,25,25,1.7432432432432432,0.2898876404494382,1375
along,25,30,1.6216216216216217,0.2247191011235955,1150
along,25,39,1.3491891891891892,0.14382022471910114,646
along,25,45,0.024324324324324326,0.0022471910112359553,-1805
along,25,50,0.02702702702702703,0.0022471910112359553,-1800
along,25,60,0.0,0.0,-1850
along,25,75,0.0,0.0,-1850
along,25,100,0.0,0.0,-1850
