ft,st,fast,slow,side,rise,win,exit,n,wr,pf1,net1,dd1,top10,pf2,net2
EMA,EMA,50,200,both,False,cash10-16,cross+3ATR,1004,15.737051792828685,0.5900538786401068,-9613.192460480634,9601.024843783762,-49.979234471290134,0.5379484979254796,-11621.192460480634
EMA,EMA,50,200,both,True,all-day,cross,1010,15.544554455445544,0.6514352580162748,-7178.900000000012,7149.500000000013,-65.12696931284728,0.5877336082104598,-9198.900000000012
EMA,EMA,50,200,both,True,all-day,cross+3ATR,1529,13.342053629823415,0.5444127573023653,-12181.484745488542,12146.501058299848,-38.808077166051625,0.4817345245886666,-15239.484745488542
EMA,EMA,50,200,both,True,cash10-16,cross,826,16.222760290556902,0.6628559286017845,-6346.400000000007,6317.000000000007,-73.5125425438043,0.6043040542211885,-7998.400000000007
EMA,EMA,50,200,both,True,cash10-16,cross+3ATR,1311,13.729977116704806,0.5561610623732396,-10868.989585690713,10834.00589850202,-43.40237850821545,0.4958804687425058,-13490.989585690713
SMA,SMA,5,20,long,False,all-day,cross,1443,31.323631323631325,0.7773631429138812,-5381.399999999996,6269.399999999993,-37.16319173449289,0.6841103783461591,-8267.399999999996
SMA,SMA,5,20,long,False,all-day,cross+3ATR,2226,25.336927223719673,0.6305021923567815,-12050.157735599669,12374.480415138132,-16.5964632487068,0.5412889158682376,-16502.15773559967
SMA,SMA,5,20,long,False,cash10-16,cross,1169,32.93413173652694,0.829208450493941,-3431.799999999994,4510.299999999992,-56.075528876974275,0.7338284818009874,-5769.799999999994
SMA,SMA,5,20,long,False,cash10-16,cross+3ATR,1763,27.226318774815656,0.6854966289737411,-8340.964045519057,8680.51569175275,-23.07167360389029,0.5924493368732664,-11866.964045519057
SMA,SMA,5,20,long,True,all-day,cross,1731,27.440785673021374,0.6980256350697894,-7150.29999999999,7496.799999999988,-26.053452302700606,0.5952670620316167,-10612.29999999999
SMA,SMA,5,20,long,True,all-day,cross+3ATR,2282,23.92638036809816,0.58948236502748,-12281.146941802752,12557.581243383529,-15.168778688405983,0.4960548281839889,-16845.146941802755
SMA,SMA,5,20,long,True,cash10-16,cross,1357,29.69786293294031,0.7437769990245519,-4964.49999999999,5459.299999999991,-35.43559270822847,0.6397928404223882,-7678.49999999999
SMA,SMA,5,20,long,True,cash10-16,cross+3ATR,1772,26.12866817155756,0.6378365641531856,-8735.258333518204,9020.563024918549,-20.1390723986919,0.5413850596873442,-12279.258333518204
SMA,SMA,5,20,both,False,all-day,cross,2884,29.472954230235782,0.7240495188569109,-13733.199999999993,14338.599999999999,-21.15093350420878,0.6380072691092559,-19501.199999999993
SMA,SMA,5,20,both,False,all-day,cross+3ATR,4503,24.228292249611368,0.5927402202810914,-27134.358102046484,27683.688855313696,-10.802540413804468,0.5084720537048969,-36140.35810204649
SMA,SMA,5,20,both,False,cash10-16,cross,2270,30.88105726872247,0.7684353244490655,-9888.899999999987,10997.299999999985,-30.170190820010355,0.6854255690241564,-14428.899999999987
SMA,SMA,5,20,both,False,cash10-16,cross+3ATR,3780,24.97354497354497,0.6317106759670941,-21795.51505752134,22436.013843501118,-13.979481521582832,0.5477317921484464,-29355.51505752134
SMA,SMA,5,20,both,True,all-day,cross,3426,25.890251021599532,0.667619694042709,-15915.199999999979,16275.699999999975,-18.040615260882706,0.5706132856555509,-22767.199999999983
SMA,SMA,5,20,both,True,all-day,cross+3ATR,4543,22.95839753466872,0.568657461971073,-25863.752619994448,26180.651877751316,-11.10125062741424,0.47862611029190805,-34949.75261999445
SMA,SMA,5,20,both,True,cash10-16,cross,2679,28.03284807764091,0.705933662343625,-11529.899999999976,11920.399999999976,-22.65674463785468,0.6084046941629048,-16887.899999999976
SMA,SMA,5,20,both,True,cash10-16,cross+3ATR,3576,25.0,0.610272937699653,-19055.45227535073,19390.9129025003,-13.708937275548973,0.5176313380950412,-26207.45227535073
SMA,SMA,8,21,long,False,all-day,cross,1266,35.54502369668246,0.8244044975753598,-3954.19999999999,5222.49999999999,-52.04592585099402,0.7318256051929799,-6486.19999999999
SMA,SMA,8,21,long,False,all-day,cross+3ATR,2133,28.035630567276137,0.6496373158982619,-11251.35698507744,11915.633767281426,-18.851059501649978,0.5596345958890048,-15517.356985077438
